,0,1
0,19.0,0.5711835622787476
1,11.0,0.5666095018386841
2,22.0,0.572898805141449
3,-43.0,0.5357347130775452
4,-29.0,0.5437393188476562
5,-4.0,0.5580331683158875
6,19.0,0.5711835622787476
7,-4.0,0.5580331683158875
8,12.0,0.5671812891960144
9,8.0,0.5648942589759827
10,12.0,0.5671812891960144
11,-4.0,0.5580331683158875
12,16.0,0.5694682598114014
13,-6.0,0.5568896532058716
14,-4.0,0.5580331683158875
15,5.0,0.5631789565086365
16,5.0,0.5631789565086365
17,6.0,0.5637507438659668
18,-21.0,0.548313319683075
19,5.0,0.5631789565086365
20,10.0,0.5660377740859985
21,-8.0,0.5557461380958557
22,-30.0,0.5431675314903259
23,-36.0,0.5397369861602783
24,-27.0,0.5448828339576721
25,2.0,0.5614637136459351
26,-10.0,0.5546026229858398
27,10.0,0.5660377740859985
28,18.0,0.5706117749214172
29,8.0,0.5648942589759827
30,-5.0,0.5574614405632019
31,-4.0,0.5580331683158875
32,4.0,0.5626072287559509
33,-8.0,0.5557461380958557
34,20.0,0.5717552900314331
35,9.0,0.5654659867286682
36,-17.0,0.5506003499031067
37,6.0,0.5637507438659668
38,-1.0,0.5597484707832336
39,-9.0,0.5551744103431702
40,-16.0,0.551172137260437
41,-9.0,0.5551744103431702
42,-8.0,0.5557461380958557
43,18.0,0.5706117749214172
44,1.0,0.5608919262886047
45,4.0,0.5626072287559509
46,-3.0,0.5586049556732178
47,6.0,0.5637507438659668
48,-21.0,0.548313319683075
49,-33.0,0.5414522886276245
50,1.0,0.5608919262886047
51,2.0,0.5614637136459351
52,-2.0,0.5591766834259033
53,-6.0,0.5568896532058716
54,9.0,0.5654659867286682
55,-3.0,0.5586049556732178
56,1.0,0.5608919262886047
57,0.0,0.5603201985359192
58,-2.0,0.5591766834259033
59,4.0,0.5626072287559509
60,3.0,0.5620354413986206
61,-4.0,0.5580331683158875
62,1.0,0.5608919262886047
63,1.0,0.5608919262886047
64,0.0,0.5603201985359192
65,-2.0,0.5591766834259033
66,-2.0,0.5591766834259033
67,5.0,0.5631789565086365
68,2.0,0.5614637136459351
69,-4.0,0.5580331683158875
70,2.0,0.5614637136459351
71,-1.0,0.5597484707832336
72,4.0,0.5626072287559509
73,-7.0,0.556317925453186
74,-2.0,0.5591766834259033
75,3.0,0.5620354413986206
76,0.0,0.5603201985359192
77,-1.0,0.5597484707832336
78,0.0,0.5603201985359192
79,0.0,0.5603201985359192
80,2.0,0.5614637136459351
81,7.0,0.5643224716186523
82,-6.0,0.5568896532058716
83,-3.0,0.5586049556732178
84,12.0,0.5671812891960144
85,2.0,0.5614637136459351
86,-8.0,0.5557461380958557
87,17.0,0.5700400471687317
88,6.0,0.5637507438659668
89,3.0,0.5620354413986206
90,1.0,0.5608919262886047
91,24.0,0.5740423202514648
92,22.0,0.572898805141449
93,-40.0,0.5374500155448914
94,-16.0,0.551172137260437
95,6.0,0.5637507438659668
96,21.0,0.5723270773887634
97,-27.0,0.5448828339576721
98,-6.0,0.5568896532058716
99,-17.0,0.5506003499031067
100,1.0,0.5608919262886047
101,-7.0,0.556317925453186
102,4.0,0.5626072287559509
103,-5.0,0.5574614405632019
104,9.0,0.5654659867286682
